,GPU MODEL,VRAM,H/s,APP,OS,TDP,DATE,GPU MODEL SPLIT
37,4X POWERCOLOR RX VEGA 64,8 GB HBM MEMORY,6800,"XMR-STAK-AMD, 2 THREADS / GPU, 2016 + 2000 THREAD INTENSITIES, WORKSIZE 8",WINDOWS 10 x64,670 W,"Nov, 2017.",['4X POWERCOLOR RX VEGA 64']
38,8X RX 580 8GB HYNIX MEMORY (SAPPHIRE & HIS),8 GB DDR5,6720,"XMR-STAK-AMD, 2 THREADS/GPU 1200 - 2250 INTENSITY 1152 WORKSIZE 8",WINDOWS 10 x64,800 W,"Oct, 2017.",['8X RX 580 8GB HYNIX MEMORY (SAPPHIRE & HIS)']
39,4X POWERCOLOR RX VEGA 64,8 GB HBM2 MEMORY,6700,"XMR-STAK-AMD, 2 threads / GPU, 2016 + 1600 thread intensities, worksize 8",WINDOWS 10 x64,720 W,"Sep, 2017.",['4X POWERCOLOR RX VEGA 64']
40,11X MSI R7 370 +  3X ASUS RX 550 + 2X GIGABYTE RX 550 +  2X 4GB RX 550 + 1X 2GB RX 550,2 GB DDR5,6600,SIMPLE MINER,ETHOS 1.2.0,1300 W,"Jan, 2018.","['11X MSI R7 370', ' 3X ASUS RX 550', '2X GIGABYTE RX 550', ' 2X 4GB RX 550', '1X 2GB RX 550']"
41,3X SAPPHIRE RX VEGA 56 STOCK BIOS + 1X SAPPHIRE NITRO+RX 580 STOCK BIOS,8 GB HBM2 MEMORY,6569,CAST-XMR,WINDOWS 10 x64,759 W,"Nov, 2017.","['3X SAPPHIRE RX VEGA 56 STOCK BIOS', '1X SAPPHIRE NITRO+RX 580 STOCK BIOS']"
42,3X SAPPHIRE VEGA 64,8 GB HBM2 MEMORY,6240,"XMR-STAK. POWERPLAY REGISTRY MOD. 6 THREADS. WORKERS:8, INTENSITY 1932 ON ALL THREADS, MEMP3@1150MHZ/925MV",WINDOWS 10 x64,600 W,"Dec, 2017.",['3X SAPPHIRE VEGA 64']
43,6X RX 580 8GB,8 GB DDR3,6224,CLAYMORE 10.2,WINDOWS 10 x64,N/A,"Nov, 2017.",['6X RX 580 8GB']
44,6X XFX RX 580 GTS,8 GB DDR5,6112,CLAYMORE,WINDOWS 10 x64,N/A,"Dec, 2017.",['6X XFX RX 580 GTS']
45,3 * NVIDIA V100 VOLTA,16 GB DDR5,6069,XMR-STAK-NVIDIA,CENTOS 7 x64,250 W,"Oct, 2017.",['3 * NVIDIA V100 VOLTA']
46,MSI VEGA 64 IRON X3,8 GB HBM2 MEMORY,6060,"CAST XMR (2020H/S EACH, 65 DEGREES, NEARLY 300W FOR ONE, OVERLOCK -10%CORE, 1095MHZ MEM, POWER 0%)",WINDOWS 10 x64,900 W,"Dec, 2017.",['MSI VEGA 64 IRON X3']
47,7X SAPPHIRE RX 570 PULSE CORE1280/MEM2180,4 GB DDR5,5930,XMR-STAK-AMD,UBUNTU 16.04 x64,770 W,"Sep, 2017.",['7X SAPPHIRE RX 570 PULSE CORE1280/MEM2180']
48,3X MSI VEGA 56,8 GB HBM2 MEMORY,5930,"XMR STAK AMD, 2 THREADS PER GPU 2016/1728 FLASHED 64 MODDED REG FILES.",WINDOWS 10 x64,575 W,"Dec, 2017.",['3X MSI VEGA 56']
49,6X RX 570,4 GB DDR5,5900,XMR STAK AMD  - MYR5@OP.PL FOR DETAILS,WINDOWS 10 x64,110 W,"Dec, 2017.",['6X RX 570']
50,3X VEGA 56,8 GB HBM2 MEMORY,5700,XMR-STAK-AMD,WINDOWS 10 x64,N/A,"Oct, 2017.",['3X VEGA 56']
51,3X VEGA 64,8 GB HBM2 MEMORY,5700,"XMR-STAK-AMD: 6GPU THREADS (EACH GPU 2 THREADS), INTENSITY - 2016 AND 1600 PER GPU, PLATFORM INDEX 0, MEMCLOCK ON AMD SETTINGS TO 1075.",WINDOWS 10 x64,660 W,"Dec, 2017.",['3X VEGA 64']
52,"12X SAPPHIRE RX 560 2GB(HYNIX) - MOD BIOS 1500 TIMINGS, 1050/1950",2 GB DDR5,5660,CLAYMORE CRYPTONOTE AMD GPU MINER V11.0,WINDOWS 10 x64,570 W,"Dec, 2017.","['12X SAPPHIRE RX 560 2GB(HYNIX) - MOD BIOS 1500 TIMINGS, 1050/1950']"
53,6X SAPPHIRE RX 580 NITRO+ SPECIAL EDITION,8 GB DDR5,5616,CLAYMORE 9.7 BIOS MOD (1340/2000),WINDOWS 10 x64,1120 W,"Dec, 2017.",['6X SAPPHIRE RX 580 NITRO+ SPECIAL EDITION']
54,3X MSI RX VEGA 56,8 GB HBM2 MEMORY,5600,CAST XMR VEGA,WINDOWS 10 x64,N/A,"Nov, 2017.",['3X MSI RX VEGA 56']
55,"3X RX VEGA 56 8GB (MSI, XFX, SAPPHIRE)",8 GB HBM2 MEMORY,5506,"XMR-STAK-AMD (2 THR, 2016/1600 Intensity.  Soft PP table undervolt)",WINDOWS 10 x64,540 W,"Sep, 2017.","['3X RX VEGA 56 8GB (MSI, XFX, SAPPHIRE)']"
56,SAPPHIRE RX VEGA 56X 3 (600 WATT SYSTEM LOAD),8 GB HBM2 MEMORY,5500,WOLF-XMR-MINER,WINDOWS 10 x64,N/A,"Oct, 2017.",['SAPPHIRE RX VEGA 56X 3 (600 WATT SYSTEM LOAD)']
57,6X SAPPHIRE RX 580 NITRO+ SPECIAL EDITION,8 GB DDR5,5424,CLAYMORE'S 9.7,WINDOWS 10 x64,N/A,"Oct, 2017.",['6X SAPPHIRE RX 580 NITRO+ SPECIAL EDITION']
58,3X VEGA 56,8 GB HBM2 MEMORY,5420,"XMR-STAK-AMD, 2 threads / gpu, 2016 + 1600 thread intensities, worksize 8",WINDOWS 10 x64,570 W,"Sep, 2017.",['3X VEGA 56']
59,"6X RX 570 (2050 MHZ MEMORY, 1150 MHZ CORE)",4 GB DDR5,5350,CLAYMORE V11 POOL,WINDOWS 10 x64,650 W,"Dec, 2017.","['6X RX 570 (2050 MHZ MEMORY, 1150 MHZ CORE)']"
60,4X SAPPHIRE NITRO+ RX 480 8GB(1306/2000)+ 3X R9 290 4GB(1050/1300)(ALL UNDERVOLT),8 GB DDR5,5300,CLAYMORE CRYPTONOTE GPU MINER 9.7 BETA,WINDOWS 10 x64,1300 W,"Nov, 2017.",['4X SAPPHIRE NITRO+ RX 480 8GB(1306/2000)+ 3X R9 290 4GB(1050/1300)(ALL UNDERVOLT)']
61,7X RX470 (GPU-1290 MEM-2100),4 GB DDR5,5250,CLAYMORE 9.7,WINDOWS 10 x64,850 W,"Sep, 2017.",['7X RX470 (GPU-1290 MEM-2100)']
62,SAPPHIRE NITRO+ RX 580 LIMITED EDITION (6),8 GB DDR5,5202,CLAYMORE GPU 9.7,WINDOWS 10 x64,534 W,"Sep, 2017.",['SAPPHIRE NITRO+ RX 580 LIMITED EDITION (6)']
63,13X RX 550 D5 2GB PENTIUM G4400,2 GB DDR5,5200,XMR STAK,UBUNTU 16.04 x64,800 W,"Dec, 2017.",['13X RX 550 D5 2GB PENTIUM G4400']
64,3X VEGA56,8 GB HBM2 MEMORY,5100,XMR-STAK-AMD,WINDOWS 10 x64,550 W,"Sep, 2017.",['3X VEGA56']
65,"2X VEGA 56, 2X RX 580",16 GB HBM2 MEMORY,5040,CASTXMR,WINDOWS 10 x64,780 W,"Jan, 2018.","['2X VEGA 56, 2X RX 580']"
66,"5X SAPPHIRE NITRO+ OC RX 580 4G, 1X MSI GAMING X RX 580 8G",4 GB DDR5,5000,NICEHASH (CLAYMORE),WINDOWS 10 x64,90 W,"Nov, 2017.","['5X SAPPHIRE NITRO+ OC RX 580 4G, 1X MSI GAMING X RX 580 8G']"
67,6X POWERCOLOR RED DEVIL GOLDEN RADEON RX 580,8 GB DDR5,4920,SGMINNER-GM 5.5.5,WINDOWS 10 x64,560 W,"Nov, 2017.",['6X POWERCOLOR RED DEVIL GOLDEN RADEON RX 580']
68,SAPPHIRE RX 570 NITRO+ 4GB X6,4 GB DDR5,4765,XMRIG,WINDOWS 10 x64,N/A,"Nov, 2017.",['SAPPHIRE RX 570 NITRO+ 4GB X6']
69,"8X MSI RADEON RX 470 MINING (CORE:1126MHZ,900MV, MEM:8000MHZ,950MV)",4 GB DDR5,4760,SG-MINER 5.5.5,WINDOWS 10 x64,670 W,"Nov, 2017.","['8X MSI RADEON RX 470 MINING (CORE:1126MHZ,900MV, MEM:8000MHZ,950MV)']"
70,6X R9 390S,8 GB DDR5,4700,SGMINER-GM-XMR,ETHOS 1.2.0,1500 W,"Nov, 2017.",['6X R9 390S']
71,3X SAPPHIRE RADEON VEGA 56,8 GB HBM2 MEMORY,4665,"SGMINER HBCC (ON,ON,ON) -30% CLOCK 950 MEM -24 POWER INT 1850 WSIZE 8 THREADS 2 BLOCKCHAIN DRIVERS  STOCK BIOS",WINDOWS 10 x64,575 W,"Oct, 2017.",['3X SAPPHIRE RADEON VEGA 56']
72,3X RX VEGA 56,8 GB HBM2 MEMORY,4500,XMR-STAK-AMD,WINDOWS 10 x64,N/A,"Sep, 2017.",['3X RX VEGA 56']
73,6X RX 580 MSI 4G,4 GB DDR5,4500,SMOS XMR-STAK-AMD,UBUNTU 15.04 x64,N/A,"Nov, 2017.",['6X RX 580 MSI 4G']
74,5X RX 580 NITRO 8GB,8 GB DDR5,4350,CLAYMORE CRYPTONOTE GPU MINER V9.7 BETA - CATALYST 15.12,WINDOWS 10 x64,N/A,"Dec, 2017.",['5X RX 580 NITRO 8GB']
75,6X SAPPHIRE RX 570 CUSTOM MODS,4 GB DDR5,4250,CLAYMORE,WINDOWS 10 x64,N/A,"Dec, 2017.",['6X SAPPHIRE RX 570 CUSTOM MODS']
76,MSI RX-470 ARMOUR  (X6),4 GB DDR5,4100,CLAYMORE 9.7,WINDOWS 10 x64,600 W,"Nov, 2017.",['MSI RX-470 ARMOUR  (X6)']
77,6X RX 580 8GB,8 GB DDR5,4094,SGMINER-GM-XMR,ETHOS 1.2.0,N/A,"Sep, 2017.",['6X RX 580 8GB']
78,"1X VEGA 56, 2X MSI RX580 ARMOR SAMSUNG 8G",8 GB HBM2 MEMORY,4092,XMR-STAK 2.1 R580 @ 2X1024/8 VEGA @ 2X1936,WINDOWS 10 x64,360 W,"Dec, 2017.","['1X VEGA 56, 2X MSI RX580 ARMOR SAMSUNG 8G']"
79,RX 580X 5,8 GB DDR5,4070,CLAYMORE,WINDOWS 10 x64,100 W,"Oct, 2017.",['RX 580X 5']
80,2X RX VEGA XFX 56 & GIGABYTE 64 SILVER,8 GB HBM2 MEMORY,4066,CAST XMR 0.7,WINDOWS 10 x64,N/A,"Dec, 2017.",['2X RX VEGA XFX 56 & GIGABYTE 64 SILVER']
81,2X XFX VEGA64,8 GB HBM2 MEMORY,4040,XMR-STAK,WINDOWS 10 x64,N/A,"Dec, 2017.",['2X XFX VEGA64']
82,2X RX VEGA 64 LIQUID,8 GB HBM2 MEMORY,3980,XMR-STAK-AMD,WINDOWS 10 x64,320 W,"Sep, 2017.",['2X RX VEGA 64 LIQUID']
83,10X MSI RX 460 LOW PROFILE BIOS MODDED,2 GB DDR5,3980,CLAYMORE 10.2,UBUNTU 16.10 x64,N/A,"Nov, 2017.",['10X MSI RX 460 LOW PROFILE BIOS MODDED']
84,2X MSI VEGA 56,8 GB HBM2 MEMORY,3980,"XMR STAK AMD, 2 THREADS PER GPU 2016/1730 FLASHED 64 MODDED REG FILES.",WINDOWS 10 x64,375 W,"Dec, 2017.",['2X MSI VEGA 56']
85,3X ASUS POSEIDON GTX 1080TI,11 GB DDR5,3960,MINERGATE 7.1,WINDOWS 10 x64,450 W,"Nov, 2017.",['3X ASUS POSEIDON GTX 1080TI']
86,2X SAPPHIRE RX VEGA 64,8 GB HBM2 MEMORY,3955,"CAST XMR (BLOCKCHAIN DRIVER, MODDED REGISTRY, OVERDRIVENTOOL)",WINDOWS 10 x64,300 W,"Nov, 2017.",['2X SAPPHIRE RX VEGA 64']
87,MSI RX VEGA 56 (2),8 GB HBM2 MEMORY,3913,XMR-STAK-AMD,WINDOWS 10 x64,330 W,"Oct, 2017.",['MSI RX VEGA 56 (2)']
88,2X RX VEGA 64 8GB,8 GB HBM2 MEMORY,3905,XMR CAST,WINDOWS 10 x64,360 W,"Nov, 2017.",['2X RX VEGA 64 8GB']
89,1X VEGA FRONTIER EKWB + 1X RX VEGA64 LC,16 GB HBM2 MEMORY,3900,XMR-STAK (BLOCKCHAIN DRIVER),WINDOWS 10 x64,600 W,"Jan, 2018.","['1X VEGA FRONTIER EKWB', '1X RX VEGA64 LC']"
90,5X SAPPHIRE PULSE RX 570,4 GB DDR5,3866,XMR-STAK-AMD on simplemine.net,UBUNTU 17.04 x64,N/A,"Sep, 2017.",['5X SAPPHIRE PULSE RX 570']
91,"2X RX VEGA 56 (64BIOS, CORE1407, MEM1100, SOFTPPTABLE UV)",8 GB HBM2 MEMORY,3825,"XMR-STAK-AMD, 2 THREADS / GPU, 2016 + 1736 THREAD INTENSITIES, WORKSIZE 8",WINDOWS 10 x64,300 W,"Oct, 2017.","['2X RX VEGA 56 (64BIOS, CORE1407, MEM1100, SOFTPPTABLE UV)']"
92,GIGABYTE RX470-MI  X 4 (1206/2100 SAMSUNG),4 GB DDR5,3820,GATELESSGATE +AMD BLOCKCHAIN DRIVER + UBERMIX 3.2,WINDOWS 10 x64,400 W,"Nov, 2017.",['GIGABYTE RX470-MI  X 4 (1206/2100 SAMSUNG)']
93,4X RX 580 ASUS STRIX + 1X RX 480 ASUS STRIX,8 GB DDR5,3800,CLAYMORE 10.2,WINDOWS 10 x64,515 W,"Dec, 2017.","['4X RX 580 ASUS STRIX', '1X RX 480 ASUS STRIX']"
94,2X VEGA 56,8 GB DDR3,3790,XMR-STAK-AMD,WINDOWS 10 x64,N/A,"Nov, 2017.",['2X VEGA 56']
95,RX VEGA 56X2,8 GB HBM2 MEMORY,3770,XMR-STAK-AMD,WINDOWS 10 x64,N/A,"Oct, 2017.",['RX VEGA 56X2']
96,MSI 1050TI AERO ITX OC (X12),4 GB DDR5,3760,"XMR-STAK (T: 48, B: 18, BF: 8, BS: 100, SM:3), POWER MEASURED AT WALL. MINUS CPU AND FANS ~40 WATT PER GPU.",XUBUNTU 17.10 x64,540 W,"Dec, 2017.",['MSI 1050TI AERO ITX OC (X12)']
97,6X MSI GAMING X RX 480 8GB (NON-OVERCLOCKING) + (ASROCK H81 PRO BTC + CELERON) = 850W,8 GB DDR5,3750,CLAYMORE'S CRYPTONOTE GPU AMD MINER V10.2 LINUX BETA,UBUNTU 16.04 x64,850 W,"Nov, 2017.","['6X MSI GAMING X RX 480 8GB (NON-OVERCLOCKING)', '(ASROCK H81 PRO BTC', 'CELERON) = 850W']"
98,10X POWERCOLOR RX 560 (MODIFIED BIOS 565 WATTS @ WALL),4 GB DDR5,3750,SGMINER-GM-XMR,ETHOS 1.2.0,565 W,"Nov, 2017.",['10X POWERCOLOR RX 560 (MODIFIED BIOS 565 WATTS @ WALL)']
99,2X GIGABYTE RADEON VEGA 56,8 GB HBM2 MEMORY,3750,XMR-STAK-AMD,WINDOWS 10 x64,N/A,"Nov, 2017.",['2X GIGABYTE RADEON VEGA 56']
100,XFX RX 580 GTS BLACK,8 GB DDR5,3750,CLAYMORE,WINDOWS 10 x64,580 W,"Dec, 2017.",['XFX RX 580 GTS BLACK']
101,6X XFX R9 380,4 GB DDR5,3743,CLAYMORE 10.2 BETA,WINDOWS 10 x64,150 W,"Dec, 2017.",['6X XFX R9 380']
102,2X VEGA 56 (STOCK BIOS),16 GB HBM2 MEMORY,3715,XMR-STAK-AMD (BLOCKCHAIN DRIVERS),WINDOWS 10 x64,390 W,"Dec, 2017.",['2X VEGA 56 (STOCK BIOS)']
103,2X VEGA 56,8 GB HBM2 MEMORY,3700,XMR-STAK-AMD,WINDOWS 10 x64,270 W,"Sep, 2017.",['2X VEGA 56']
104,5X SAPPHIRE RX 580 NITRO+ AND R3 1300X CPU 4 CORES,8 GB DDR5,3700,XMR-STAK-UNIFIED + 1250/2210 CLOCK + BIOSFLASH,WINDOWS 10 x64,550 W,"Dec, 2017.",['5X SAPPHIRE RX 580 NITRO+ AND R3 1300X CPU 4 CORES']
105,8X AMD 7950,3 GB DDR5,3680,CLAYMORE 10.2,WINDOWS 10 x64,1100 W,"Nov, 2017.",['8X AMD 7950']
106,NVIDIA TITAN V (1900MHZ HBM2 OC),12 GB HBM2 MEMOR,3644,XMR-STAK MODDED,WINDOWS 10 x64,250 W,"Dec, 2017.",['NVIDIA TITAN V (1900MHZ HBM2 OC)']
107,SAPPHIRE RX480 GB OC,8 GB DDR5,3600,GATELESS GATE V0.1.3-PRE6,WINDOWS 10 x64,N/A,"Dec, 2017.",['SAPPHIRE RX480 GB OC']
108,"4X SAPPHIRE RX 470 4GB (ELPIDA) NITRO+ OC, BIOS TIMING MOD, GPU 1260@-87MV, RAM 1925 (CONSUMPTION AT WALL)",4 GB DDR5,3530,"XMR-STAK (2 THREADS PER GPU, INTENSITY 960+768)",WINDOWS 10 x64,510 W,"Jan, 2018.","['4X SAPPHIRE RX 470 4GB (ELPIDA) NITRO+ OC, BIOS TIMING MOD, GPU 1260@-87MV, RAM 1925 (CONSUMPTION AT WALL)']"
109,"2X 7950(3GB), 1X 7970(3GB), 1X RX 570(4GB), 2X RX 580(4GB)",4 GB DDR3,3520,CLAYMORE V10.2,WINDOWS 7 x64,N/A,"Oct, 2017.","['2X 7950(3GB), 1X 7970(3GB), 1X RX 570(4GB), 2X RX 580(4GB)']"
110,2X VEGA 56 ~110W EACH,8 GB HBM2 MEMORY,3500,XMR-STAK-AMD,WINDOWS 10 x64,N/A,"Oct, 2017.",['2X VEGA 56 ~110W EACH']
111,6X RX 570 ASUS STRIX OC 4GB,4 GB DDR5,3447,CLAYMORE 9.7,WINDOWS 10 x64,830 W,"Sep, 2017.",['6X RX 570 ASUS STRIX OC 4GB']
112,5X RX 470 (1XFX & 4 SAPPHIRE),4 GB DDR5,3400,CLAYMORE 9.7,WINDOWS 7 x64,N/A,"Sep, 2017.",['5X RX 470 (1XFX & 4 SAPPHIRE)']
113,3X ASUS HD7990,18 GB DDR5,3360,CLAYMORE 9.7,WINDOWS 10 x64,760 W,"Sep, 2017.",['3X ASUS HD7990']
114,4X SAPPHIRE NITRO+ RX 580 OC,8 GB DDR5,3330,CLAYMORE CRYPTONOTE AMD GPU MINER V10.2 BETA - POOL,WINDOWS 10 x64,460 W,"Nov, 2017.",['4X SAPPHIRE NITRO+ RX 580 OC']
115,8X AMD RX 560 2GB,2 GB DDR3,3200,"SGMINER, RAWINTENSITY=512, WORKSIZE=8, GPU-THREADS=1",UBUNTU 16.04 x64,60 W,"Oct, 2017.",['8X AMD RX 560 2GB']
116,1X MSI R9 390 + 2X ASUS R9 390X +1X ASUS RX 480 + AMD RYZEN 5 1400,8 GB DDR5,3200,CLAYMORE'S CRYPTONOTE GPU MINER V9.7 BETA,WINDOWS 10 x64,755 W,"Oct, 2017.","['1X MSI R9 390', '2X ASUS R9 390X +1X ASUS RX 480', 'AMD RYZEN 5 1400']"
117,2X EVGA 1080TI SC BLACK - 1X EVGA 1080TI FTW3 -  1X GFORCE. GTX TITAN BLACK,11 GB DDR5,3150,XMRMINER,WINDOWS 10 x64,129 W,"Aug, 2017.",['2X EVGA 1080TI SC BLACK - 1X EVGA 1080TI FTW3 -  1X GFORCE. GTX TITAN BLACK']
118,GIGABYTE RX 470-MI  X 4,4 GB DDR5,3106,XMR-STAK-AMD,WINDOWS 10 x64,450 W,"Oct, 2017.",['GIGABYTE RX 470-MI  X 4']
119,5X RX 570 NITRO+  (STOCK BIOS),8 GB DDR5,2982,SGMINER-XMR,ETHOS 1.2.0,N/A,"Dec, 2017.",['5X RX 570 NITRO+  (STOCK BIOS)']
120,6X MSI GTX 1060 3GB,3 GB DDR5,2940,MINERGATE 7.2,WINDOWS 10 x64,90 W,"Jan, 2018.",['6X MSI GTX 1060 3GB']
121,"4X SAPPHIRE RX 470 4GB NITRO+ OC, 1180MHZ@LESS THAN 70 WATTS FOR EACH GPU (DOWNCLOCKED & UNDERVOLTAGED)",4 GB DDR5,2890,SGMINER-5.6.1,WINDOWS 10 x64,280 W,"Sep, 2017.","['4X SAPPHIRE RX 470 4GB NITRO+ OC, 1180MHZ@LESS THAN 70 WATTS FOR EACH GPU (DOWNCLOCKED & UNDERVOLTAGED)']"
122,CLUB 3D HD 6990 - 4X,16 GB DDR5,2886,CLAYMORE 9.7,WINDOWS 10 x64,1500 W,"Oct, 2017.",['CLUB 3D HD 6990 - 4X']
123,4X MSI R9 380,2 GB DDR5,2880,CLAYMORE CRYPTONOTE GPU MINER 9.7 BETA,WINDOWS 10 x64,800 W,"Dec, 2017.",['4X MSI R9 380']
124,2XFX RX 580 GTS BLACKEDITION + 2 ASUS STRIX RX580,8 GB DDR5,2835,CLAYMORE 9.7B,WINDOWS 10 x64,620 W,"Oct, 2017.","['2XFX RX 580 GTS BLACKEDITION', '2 ASUS STRIX RX580']"
125,6X GIGABYTE RX 460 (MODIFIED BIOS 325 WATTS AT WALL),2 GB DDR5,2610,SGMINER-GM-XMR,ETHOS 1.2.0,325 W,"Nov, 2017.",['6X GIGABYTE RX 460 (MODIFIED BIOS 325 WATTS AT WALL)']
126,"RX 570X 2 4GB , RX 580X1 4GB , RX 580X1 8GB",4 GB DDR5,2605,XMR-STAK-AMD,UBUNTU 16.04 x64,N/A,"Sep, 2017.","['RX 570X 2 4GB , RX 580X1 4GB , RX 580X1 8GB']"
127,"SAPPHIRE NITRO RX 470X 2 (FAN LOUD - HR 720 + 520), ASUS STRIK RX 470X 1 (QUIETEST FAN - HR 620) + XFX RX 470",4 GB DDR5,2550,XMR-STAK-AMD,UBUNTU 16.10 x64,85 W,"Sep, 2017.","['SAPPHIRE NITRO RX 470X 2 (FAN LOUD - HR 720', '520), ASUS STRIK RX 470X 1 (QUIETEST FAN - HR 620)', 'XFX RX 470']"
128,4X SAPPHIRE NITRO OC+ RX480,8 GB DDR5,2500,XMR-STAK-AMD,WINDOWS 10 x64,N/A,"Sep, 2017.",['4X SAPPHIRE NITRO OC+ RX480']
129,"6X POWERCOLOR RX 560 2GB (1500-2000 MEM STRAP BIOS, 1080CORE/2100MEM)",2 GB DDR5,2436,SGMINER-GM-XMR 5.5.5,ETHOS 1.2.0,430 W,"Sep, 2017.","['6X POWERCOLOR RX 560 2GB (1500-2000 MEM STRAP BIOS, 1080CORE/2100MEM)']"
130,X1 R9 270X HAWK - X2 R9 270X GAMING - X1 R9 270 GAMING - X1 R9 280 GAMING - X1 7870 ASUS DC2,2 GB DDR5,2370,CLAYMORE CRYPTONOTE GPU MINER V9.7 BETA,WINDOWS 10 x64,N/A,"Dec, 2017.",['X1 R9 270X HAWK - X2 R9 270X GAMING - X1 R9 270 GAMING - X1 R9 280 GAMING - X1 7870 ASUS DC2']
131,4X ASUS ROG STRIX RADEON RX 570 OC (STOCK CLOCKS/MEMORY),4 GB DDR5,2350,CLAYMORE 9.7,WINDOWS 10 x64,N/A,"Oct, 2017.",['4X ASUS ROG STRIX RADEON RX 570 OC (STOCK CLOCKS/MEMORY)']
132,4X RX 570 SAPPHIRE NITRO+  (STOCK BIOS-SAMSUNG MEMORY),8 GB DDR5,2350,SGMINER-XMR,ETHOS 1.2.0,112 W,"Dec, 2017.",['4X RX 570 SAPPHIRE NITRO+  (STOCK BIOS-SAMSUNG MEMORY)']
133,290X 4GB + 390 8GB + 390X 8GB,8 GB DDR5,2341,SGMINER 5.5.5,ETHOS 1.2.0,855 W,"Aug, 2017.","['290X 4GB', '390 8GB', '390X 8GB']"
134,6X HD7850 2G (SAPPHIRE*5+AMD HD7850*1),12 GB DDR5,2325,CLAYMORE CRYPTONOTE GPU MINER V9.7 BETA (-nofee 0),WINDOWS 10 x64,900 W,"Sep, 2017.",['6X HD7850 2G (SAPPHIRE*5+AMD HD7850*1)']
135,RX580 8GB + RX580 4GB + RX 470 4GB,16 GB DDR5,2320,WOLF'S XMR MINER,WINDOWS 10 x64,300 W,"Sep, 2017.","['RX580 8GB', 'RX580 4GB', 'RX 470 4GB']"
136,VEGA FRONTIER EDITION AIR COOLED,16 GB HBM2 MEMORY,2300,XMR-STAK-AMD,WINDOWS 10 x64,200 W,"Nov, 2017.",['VEGA FRONTIER EDITION AIR COOLED']
137,4X SAPPHIRE RX 570,8 GB DDR5,2298,SGMINER-GM-XMR 5.5.5,OTHER LINUX OS x64,185 W,"Sep, 2017.",['4X SAPPHIRE RX 570']
138,RX574*2+RX588*2,4 GB DDR3,2285,"INTENSITY"" : 1024, ""WORKSIZE"" : 8-570",WINDOWS 10 x64,N/A,"Oct, 2017.",['RX574*2+RX588*2']
139,6X POWER COLOR RX 560,4 GB DDR5,2260,CLAYMORE CRYPTONOTE 10.2,WINDOWS 10 x64,300 W,"Nov, 2017.",['6X POWER COLOR RX 560']
140,GIGABYTE RX 460 2GB  X 6  (CUSTOM BIOS) UNDER CLOCKED CORE  OVERCLOCKED MEM  290 TOTAL WATTS AT WALL,2 GB DDR5,2225,SGMINER-GM-XMR,ETHOS 1.2.0,N/A,"Oct, 2017.",['GIGABYTE RX 460 2GB  X 6  (CUSTOM BIOS) UNDER CLOCKED CORE  OVERCLOCKED MEM  290 TOTAL WATTS AT WALL']
141,AMD RADEON RX VEGA 64 [2016+1600],8 GB HBM2 MEMORY,2145,XMR-STAK [C0D3R MOD],WINDOWS 10 x64,N/A,"Dec, 2017.",['AMD RADEON RX VEGA 64 [2016+1600]']
142,X3 POWERCOLOR RX 580 RED DEVIL,8 GB DDR5,2115,XMR-STAK-AMD,WINDOWS 10 x64,N/A,"Nov, 2017.",['X3 POWERCOLOR RX 580 RED DEVIL']
143,VEGA FRONTIER,16 GB HBM2 MEMORY,2100,XMR-STAK-AMD,WINDOWS 10 x64,240 W,"Oct, 2017.",['VEGA FRONTIER']
144,RX VEGA 64 SAPPHIRE 8GB HBM,8 GB HBM2 MEMORY,2055,XMR-STAK-AMD,WINDOWS 10 x64,160 W,"Dec, 2017.",['RX VEGA 64 SAPPHIRE 8GB HBM']
145,3X ASUS ROG RX 570 STRIX,4 GB DDR3,2050,CLAYMORE 9.7,WINDOWS 10 x64,350 W,"Sep, 2017.",['3X ASUS ROG RX 570 STRIX']
146,RX VEGA 64 POWERCOLOR,8 GB HBM MEMORY,2050,CAST XMR,WINDOWS 10 x64,165 W,"Nov, 2017.",['RX VEGA 64 POWERCOLOR']
147,1X SAPPHIERE VEGA 64,8 GB DDR5,2024,CAST XMR,WINDOWS 10 x64,200 W,"Dec, 2017.",['1X SAPPHIERE VEGA 64']
148,"SAPPHIRE RX VEGA 64 GPU: 1697 MHZ, MEMORY: 1105 MHZ, HBCC MEMORY SEGMENT TO 12624 MB)",8 GB DDR5,2012,"XMR-STAK-AMD-NOTLS 2 THREADS / GPU, 2016 + 1600 THREAD INTENSITIES, WORKSIZE 8",WINDOWS 10 x64,N/A,"Oct, 2017.","['SAPPHIRE RX VEGA 64 GPU: 1697 MHZ, MEMORY: 1105 MHZ, HBCC MEMORY SEGMENT TO 12624 MB)']"
149,"X2 VEGA 64 REFERENCE DESIGN - FANS 100%, 10% GPU UNDERCLOCK, HBM2 1060/1090MHZ",8 GB HBM2 MEMORY,2010,XMR-STAK 2.2.0,WINDOWS 10 x64,N/A,"Dec, 2017.","['X2 VEGA 64 REFERENCE DESIGN - FANS 100%, 10% GPU UNDERCLOCK, HBM2 1060/1090MHZ']"
150,"4X AMD R9 280X (MIX GIGABYTE, XFX, ASUS , MSI)",12 GB DDR5,2007,CLAYMORE-XMR-V9.1,UBUNTU 16.04 x64,820 W,"Aug, 2017.","['4X AMD R9 280X (MIX GIGABYTE, XFX, ASUS , MSI)']"
